INSERT INTO CUSTOMERS VALUES (customer_id,person_id,'name',zipcode);
INSERT INTO CUSTOMERS VALUES (2199023258667,305,'Zhang',417);
INSERT INTO CUSTOMERS VALUES (2199023260122,306,'Zaland',951);
INSERT INTO CUSTOMERS VALUES (2199023262768,307,'Farkas',1157);
INSERT INTO CUSTOMERS VALUES (2199023263018,308,'Gallagher',665);
INSERT INTO CUSTOMERS VALUES (2199023265591,309,'Pham',947);
INSERT INTO CUSTOMERS VALUES (6597069768265,310,'Balawan',640);
INSERT INTO CUSTOMERS VALUES (6597069768998,311,'Duc',940);
INSERT INTO CUSTOMERS VALUES (6597069769762,312,'Li',350);
INSERT INTO CUSTOMERS VALUES (6597069770171,313,'Liu',457);
INSERT INTO CUSTOMERS VALUES (6597069770468,314,'Akongo',1046);
INSERT INTO CUSTOMERS VALUES (6597069770767,315,'Berg',1372);
INSERT INTO CUSTOMERS VALUES (6597069771587,316,'Santos',561);
INSERT INTO CUSTOMERS VALUES (6597069772016,317,'Quang',950);
INSERT INTO CUSTOMERS VALUES (6597069772756,318,'Matsudaira',686);
INSERT INTO CUSTOMERS VALUES (6597069774110,319,'Wang',354);
INSERT INTO CUSTOMERS VALUES (6597069774748,320,'Moreno',1345);
INSERT INTO CUSTOMERS VALUES (6597069776469,321,'Loan',950);
INSERT INTO CUSTOMERS VALUES (8796093022777,322,'Sumac',1273);
INSERT INTO CUSTOMERS VALUES (8796093027404,323,'Herzigová',1088);
INSERT INTO CUSTOMERS VALUES (8796093031589,324,'Liu',389);
INSERT INTO CUSTOMERS VALUES (8796093032819,325,'Cavalera',555);
INSERT INTO CUSTOMERS VALUES (10995116278306,326,'Basov',834);
INSERT INTO CUSTOMERS VALUES (10995116286050,327,'Gomez',1077);
INSERT INTO CUSTOMERS VALUES (10995116286812,328,'Li',315);
INSERT INTO CUSTOMERS VALUES (13194139533745,329,'Do',921);
INSERT INTO CUSTOMERS VALUES (13194139534747,330,'Brown',902);
INSERT INTO CUSTOMERS VALUES (13194139537355,331,'Zhao',326);
INSERT INTO CUSTOMERS VALUES (13194139538641,332,'Smith',886);
INSERT INTO CUSTOMERS VALUES (13194139539107,333,'Zaleski',1278);
INSERT INTO CUSTOMERS VALUES (13194139539537,334,'Ilie',1305);
INSERT INTO CUSTOMERS VALUES (13194139539667,335,'Baissac',532);
INSERT INTO CUSTOMERS VALUES (13194139539868,336,'Zhu',328);
INSERT INTO CUSTOMERS VALUES (13194139541784,337,'Collins',527);
INSERT INTO CUSTOMERS VALUES (13194139542574,338,'Chen',441);
INSERT INTO CUSTOMERS VALUES (15393162789023,339,'Alonso',1343);
INSERT INTO CUSTOMERS VALUES (15393162789190,340,'Escobar',1064);
INSERT INTO CUSTOMERS VALUES (15393162789420,341,'Xu',384);
INSERT INTO CUSTOMERS VALUES (15393162790786,342,'Aouadhi',1401);
INSERT INTO CUSTOMERS VALUES (15393162792557,343,'Hussain',777);
INSERT INTO CUSTOMERS VALUES (15393162794086,344,'Wang',422);
INSERT INTO CUSTOMERS VALUES (15393162794750,345,'Hofmeyr',1324);
INSERT INTO CUSTOMERS VALUES (15393162796368,346,'Fischer',602);
INSERT INTO CUSTOMERS VALUES (15393162797647,347,'Gonzalez',1067);
INSERT INTO CUSTOMERS VALUES (15393162799345,348,'Zhang',477);
INSERT INTO CUSTOMERS VALUES (17592186046838,349,'Al-Shorabi',1434);
INSERT INTO CUSTOMERS VALUES (17592186047319,350,'Li',497);
INSERT INTO CUSTOMERS VALUES (17592186050239,351,'Lei',467);
INSERT INTO CUSTOMERS VALUES (17592186051453,352,'Sanchez',1343);
INSERT INTO CUSTOMERS VALUES (17592186055065,353,'Smith',1110);
INSERT INTO CUSTOMERS VALUES (19791209300520,354,'Garcia',803);
INSERT INTO CUSTOMERS VALUES (19791209301544,355,'Liu',393);
INSERT INTO CUSTOMERS VALUES (19791209302382,356,'Rodriguez',1426);
INSERT INTO CUSTOMERS VALUES (19791209304382,357,'Aquino',817);
INSERT INTO CUSTOMERS VALUES (19791209304399,358,'Smith',989);
INSERT INTO CUSTOMERS VALUES (19791209305591,359,'Qaderi',955);
INSERT INTO CUSTOMERS VALUES (19791209306415,360,'Dijk',1249);
INSERT INTO CUSTOMERS VALUES (19791209309953,361,'Rodriguez',742);
INSERT INTO CUSTOMERS VALUES (21990232556737,362,'Chen',478);
INSERT INTO CUSTOMERS VALUES (21990232558170,363,'Choi',1342);
INSERT INTO CUSTOMERS VALUES (21990232558347,364,'Liu',325);
INSERT INTO CUSTOMERS VALUES (21990232558847,365,'Karimi',1158);
INSERT INTO CUSTOMERS VALUES (21990232560231,366,'Alkaios',1141);
INSERT INTO CUSTOMERS VALUES (21990232563897,367,'Bravo',739);
INSERT INTO CUSTOMERS VALUES (24189255814825,368,'Cohen-Meguri',1439);
INSERT INTO CUSTOMERS VALUES (24189255816390,369,'Zhang',432);
INSERT INTO CUSTOMERS VALUES (24189255816540,370,'Ahmed',774);
INSERT INTO CUSTOMERS VALUES (24189255816762,371,'Yoshida',711);
INSERT INTO CUSTOMERS VALUES (24189255821859,372,'Aquino',817);
INSERT INTO CUSTOMERS VALUES (26388279067554,373,'Barbu',1310);
INSERT INTO CUSTOMERS VALUES (26388279069572,374,'Davis',901);
INSERT INTO CUSTOMERS VALUES (26388279070686,375,'Zhang',466);
